u,g,r,i,z,class,redshift,redshift_err
19.00815,17.93777,17.44642,17.11042,16.95849,GALAXY,0.08120342,8.950472E-06
19.49983,17.96017,17.26505,16.83799,16.59548,GALAXY,0.1124019,7.922228E-06
19.14117,17.27155,16.31453,15.87336,15.5152,GALAXY,0.08650188,1.92052E-05
19.09081,16.78462,15.74021,15.20531,14.94568,GALAXY,0.09436671,4.336121E-05
19.09858,17.97219,17.30184,16.94398,16.66336,GALAXY,0.111321,8.418354E-06
18.9217,17.83718,17.31191,16.93746,16.74082,GALAXY,0.112251,6.06011E-06
19.58449,18.24557,17.45923,17.02779,16.70487,GALAXY,0.1386025,1.730478E-05
18.14572,16.89562,16.33768,16.01118,15.80122,GALAXY,0.04946987,2.11301E-05
18.46074,16.76861,16.00134,15.59312,15.28116,GALAXY,0.05157417,1.359464E-05
19.24112,18.1712,17.7722,17.44882,17.33758,GALAXY,0.08584246,6.321603E-06
18.9181,18.59233,18.14826,17.98924,17.55648,QSO,0.2649675,3.318406E-05
19.41497,19.23612,18.98149,18.7808,18.83568,QSO,1.475817,0.0005837068
18.97383,17.79458,17.09617,16.67336,16.45434,GALAXY,0.1412614,8.04184E-06
18.74104,16.66122,15.54734,15.06243,14.66732,GALAXY,0.1111735,2.03636E-05
19.44975,19.13386,19.0564,18.96998,18.95119,QSO,0.6846147,0.0001373326
19.31298,17.99732,17.26361,16.85847,16.53557,GALAXY,0.09336282,9.718079E-06
19.39626,18.26639,17.53201,17.1662,16.92536,GALAXY,0.1651455,1.069757E-05
19.08995,17.15163,16.16932,15.70767,15.34771,GALAXY,0.07300293,1.984916E-05
